EVENTS_Event_ID,EVENT_TYPE,Obs_Initials,TURTLEID,MOTOTOOL,TAG_NUM,EVENT_DATE,EVENT_TIME,ISLAND,Area,Site,EVENTS_GPS_WAYPT,EVENTS_GPS_unit,EVENTS_DATALOGGER,EVENTS_LAT_DD,EVENTS_LONG_DD,SPECIES_CODE,SEX,SCL_CM,SCW_CM,CCL_CM,CCW_CM,PLASTRON_LEN_CM,TAIL_LEN_CM,VENT_LEN_CM,Mass,TUMORS_YNU,TUMRNK,EMACIATION_CODE,DESCRIP,PHOTOS_Taken,SAMPLES_Taken,RELEASE_DATE,RELEASE_LOC,NECROPSY,HOOK,LINE,Fishing_Line_Severity,NET,BOAT_IMPACT,SHARK_ATTACK,HUMAN_TAKE,Capture_Platform,Capture_Method,EVENTS_Entry_completed_By,Validated_By,CLEANUP_NOTES,TURT_SEQ,CREATE_DTM,CREATED_BY,LAST_MOD_DTM,LAST_MOD_BY,WEIGHT_LB,TAG_INFO,PAINT,Survey_HeaderID,Release_LAT_DD,Release_LONG_DD,Turtle_Num_of_Day,Videos_Taken,Validated_Date,RELEASE_GPS_WAYPT,Release_GPS_unit,RELEASE_TIME,Missing_Body_Part,Project_Code_ID,Lavage,Ultrasound,Tetracycline_Injection,Tetracycline_left_shoulder,Tetracycline_right_shoulder,Tetracycline_Total,Laparoscopy,Nesting_Activity,SCL_est,SCW_est,CCL_est,CCW_est,PLASTRON_LEN_est,TAIL_LEN_est,VENT_LEN_est,Mass_est,Maturity_State_ID,NEW_TAG_INFO,ID,Nestings_Event_ID,Nestings_Entry_completed_By,Time,ACTIVITY,Nestings_GPS_WAYPT,Nestings_GPS_unit,Nestings_DATALOGGER,Nest_Marker,Turtle_Observed,Num_of_Eggs,Site_Sector,Nestings_LAT_DD,Nestings_LONG_DD,Data_Logger_Type,Nest_ID
240131,7,"ATG, SKI",20230605FFNE205T,205T,,6/5/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/1/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40612,240131,,1/0/1900,2,,,,,TRUE,,7 Sector,,,,
240132,7,"ATG, SKI",20230606FFNE209T,209T,,6/6/2023,,FFS,Tern,,,,,,,Cm,F,80.3,61.2,85.6,76.4,,,,,,,,,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/5/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40613,240132,,1/0/1900,7,,,,,TRUE,,6 Sector,,,,
240132,7,"ATG, SKI",20230606FFNE209T,209T,,6/6/2023,,FFS,Tern,,,,,,,Cm,F,80.3,61.2,85.6,76.4,,,,,,,,,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/5/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40614,240132,,1/0/1900,2,,,,,TRUE,,6 Sector,,,,
240132,7,"ATG, SKI",20230606FFNE209T,209T,,6/6/2023,,FFS,Tern,,,,,,,Cm,F,80.3,61.2,85.6,76.4,,,,,,,,,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/5/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40615,240132,,1/0/1900,3,,,,,TRUE,,6 Sector,,,,
240132,7,"ATG, SKI",20230606FFNE209T,209T,,6/6/2023,,FFS,Tern,,,,,,,Cm,F,80.3,61.2,85.6,76.4,,,,,,,,,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/5/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40616,240132,,1/0/1900,4,255,10,,,TRUE,,6 Sector,23.870011,-166.281476,,
240132,7,"ATG, SKI",20230606FFNE209T,209T,,6/6/2023,,FFS,Tern,,,,,,,Cm,F,80.3,61.2,85.6,76.4,,,,,,,,,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/5/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40617,240132,,1/0/1900,1,,,,,TRUE,,2 Sector,,,,
240133,7,"ATG, SKI",470C545E42,210T,,6/6/2023,,FFS,Tern,,,,,,,Cm,F,86.1,62.7,91.6,82.8,,,,,,,,,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/5/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40618,240133,,1/0/1900,4,362,8,,,TRUE,,3 Sector,23.86867,-166.285965,,
240134,7,"ATG, SKI",20230607FFNE213T,213T,,6/7/2023,,FFS,Tern,,,,,,,Cm,F,87.8,67.6,93.8,87.4,,,,,,,,,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/6/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40619,240134,,1/0/1900,3,,,,,TRUE,,2 Sector,,,,
240134,7,"ATG, SKI",20230607FFNE213T,213T,,6/7/2023,,FFS,Tern,,,,,,,Cm,F,87.8,67.6,93.8,87.4,,,,,,,,,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/6/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40620,240134,,1/0/1900,4,263,10,,,TRUE,,2 Sector,23.868488,-166.286621,,
240134,7,"ATG, SKI",20230607FFNE213T,213T,,6/7/2023,,FFS,Tern,,,,,,,Cm,F,87.8,67.6,93.8,87.4,,,,,,,,,FALSE,TRUE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/6/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40621,240134,,1/0/1900,2,,,,,TRUE,,2 Sector,,,,
